vendor,product_name,avg_price
Loblaws,Ambrosia Apples,5.77
Loblaws,Apple Cosmic Crisp,7.70333333333333
Loblaws,Applewood-Smoked Spiral-Sliced Bone-In Half Ham with Apple Cider Glaze Pouch ,10.45
Loblaws,Cortland Apples,5.83
Loblaws,Empire Apples,6.05
Loblaws,Fuji Apples,4.77
Loblaws,Gala Apples,8.43666666666667
Loblaws,Golden Delicious Apples,6.6
Loblaws,Granny Smith Apples,6.23
Loblaws,Honeycrisp Apples,6.96333333333333
Loblaws,McIntosh Apples,6.6
Loblaws,Organic Granny Smith Apples,8.81
Loblaws,Organic Honeycrisp Apples,11.56
Loblaws,Paula Red Apples,5.5
Loblaws,Pink Lady Apples,6.6
Loblaws,Red Delicious Apples,6.6
Loblaws,Royal Gala Apples,6.05
Loblaws,Spartan Apples,6.05
Loblaws,SweeTango Apples,6.6
NoFrills,Ambrosia Apples,6.04
NoFrills,Ambrosia Apples Orchard Run,2.84
NoFrills,Apple Cosmic Crisp,5.5
NoFrills,"Apple, Paula Red",3.50333333333333
NoFrills,Applewood Smoked Original Ham,20.1475
NoFrills,Applewood-Smoked Spiral-Sliced Bone-In Half Ham with Apple Cider Glaze Pouch ,9.9
NoFrills,Empire Apples,5.49
NoFrills,Fuji Apples,4.82166666666667
NoFrills,Golden Delicious Apples,6.04
NoFrills,Granny Smith Apples,6.59
NoFrills,Honeycrisp Apples,5.49666666666667
NoFrills,McIntosh Apples,6.04
NoFrills,Orchard Run Gala Apples,2.87666666666667
NoFrills,Paula Red Apples,6.04
NoFrills,Pink Lady Apples,6.59
NoFrills,Red Delicious Apples,6.59
NoFrills,Smitten Apples,5.49666666666667
Voila,Apple Fuji 1 Count           ,1.59
Voila,Apple Granny Smith Large 1 Count,1.2525
Voila,Apple Honeycrisp Large 1 Count,1.89
Voila,Apple Honeycrisp Large 1 EA,2.29
Voila,Apple Pink Lady Large 1 Count ,1.22333333333333
Voila,Apple Red Delicious Large 1 Count,1.14
Voila,Apples Royal Gala 1 Count,1.14
Voila,Del Monte Honeyglow Pineapple Sweet 1 Count,5.49
Voila,Delicious Apple Golden 1 Count,1.14
Voila,Envy Apple 1 Count,1.59
Voila,Golden Pineapple 1 Count ,4.74
Voila,Longo's Loaf Apple Spice,19.99
Voila,Mike & Mike's Organics Apples Royal Gala 1 Count ,1.39
Voila,Organic Pineapple 1 Count,7.99
Voila,Organics Apples Granny Smith 1 Count,1.29
Voila,Paula Apples Red 3 lb ,5.49
Voila,Pineapple Pink Glow 1 Count,14.99
